,rank,bib,name,country,sex,division,divisionType,finDivPos,finSexPos,finOvrPos,isDNF,swimLegTime,swimNetTime,t1LegTime,t1NetTime,bikeLegTime,bikeNetTime,t2LegTime,t2NetTime,finishLegTime,finishNetTime
65,66.0,1305,Cristobal Torres,CHI,M,M18-24,AG,2.0,38.0,38.0,False,00:30:47.044,00:30:47.044,00:03:33.561,00:34:20.605,02:26:24.828,03:00:45.433,00:02:51.445,03:03:36.878,01:33:29.163,04:37:06.041
66,67.0,1553,Matías Carné Saba,CHI,M,M30-34,AG,11.0,39.0,39.0,False,00:31:44.844,00:31:44.844,00:03:50.616,00:35:35.46,02:28:49.453,03:04:24.913,00:02:55.457,03:07:20.37,01:29:56.776,04:37:17.146
67,68.0,68,Mauricio Cadin,CHI,M,M40-44,AG,6.0,40.0,40.0,False,00:35:39.956,00:35:39.956,00:03:51.852,00:39:31.808,02:21:00.777,03:00:32.585,00:03:21.035,03:03:53.62,01:33:37.257,04:37:30.877
68,69.0,1090,Rodrigo Pineda,CHI,M,M45-49,AG,4.0,41.0,41.0,False,00:32:36.881,00:32:36.881,00:03:49.848,00:36:26.729,02:30:16.563,03:06:43.292,00:03:07.566,03:09:50.858,01:27:58.139,04:37:48.997
69,70.0,737,Jose Gonzalez,CHI,M,M50-54,AG,1.0,42.0,42.0,False,00:35:20.648,00:35:20.648,00:03:48.917,00:39:09.565,02:21:07.074,03:00:16.639,00:02:50.637,03:03:07.276,01:34:59.17,04:38:06.446
70,71.0,717,Maikol Cerda,CHI,M,M35-39,AG,10.0,43.0,43.0,False,00:35:26.623,00:35:26.623,00:04:09.251,00:39:35.874,02:24:31.008,03:04:06.882,00:03:09.652,03:07:16.534,01:31:05.264,04:38:21.798
71,72.0,130,Jorge Andres Lasen Andrade,CHI,M,M45-49,AG,5.0,44.0,44.0,False,00:35:16.358,00:35:16.358,00:04:05.219,00:39:21.577,02:25:18.156,03:04:39.733,00:02:42.355,03:07:22.088,01:31:03.003,04:38:25.091
72,73.0,1112,Luiz Francisco Ferreira,BRA,M,M40-44,AG,7.0,45.0,45.0,False,00:25:47.559,00:25:47.559,00:04:04.592,00:29:52.151,02:21:30.691,02:51:22.842,00:03:22.34,02:54:45.182,01:43:51.936,04:38:37.118
73,74.0,1608,Team Trichicas Uc,CHI,F,FRelay,RELAY,2.0,2.0,7.0,False,00:26:24.975,00:26:24.975,00:02:56.582,00:29:21.557,02:26:16.067,02:55:37.624,00:01:39.168,02:57:16.792,01:41:21.385,04:38:38.177
74,75.0,136,Ricardo Andrés Muñoz Fernandez,CHI,M,M40-44,AG,8.0,46.0,46.0,False,00:35:17.38,00:35:17.38,00:04:06.686,00:39:24.066,02:23:05.593,03:02:29.659,00:02:31.078,03:05:00.737,01:34:02.143,04:39:02.88
75,76.0,971,Hector Kappes,CHI,M,M35-39,AG,11.0,47.0,47.0,False,00:32:29.079,00:32:29.079,00:03:23.108,00:35:52.187,02:25:26.14,03:01:18.327,00:02:40.61,03:03:58.937,01:35:28.088,04:39:27.025
76,77.0,456,Michael Frankovich,NZL,M,M40-44,AG,9.0,48.0,48.0,False,00:33:23.203,00:33:23.203,00:03:46.323,00:37:09.526,02:19:39.207,02:56:48.733,00:02:54.317,02:59:43.05,01:40:00.67,04:39:43.72
77,78.0,23,Léa Riccoboni,FRA,F,FPRO,PRO,4.0,4.0,23.0,False,00:29:40.45,00:29:40.45,00:03:08.964,00:32:49.414,02:30:33.137,03:03:22.551,00:02:02.004,03:05:24.555,01:34:31.221,04:39:55.776
78,79.0,1618,Team Road Runners 2025,CHI,MF,MFRelay,RELAY,2.0,2.0,8.0,False,00:28:09.373,00:28:09.373,00:03:11.305,00:31:20.678,02:16:48.926,02:48:09.604,00:02:07.981,02:50:17.585,01:49:42.381,04:39:59.966
79,80.0,48,Juan Turner,CHI,M,M40-44,AG,10.0,49.0,49.0,False,00:35:23.919,00:35:23.919,00:05:11.779,00:40:35.698,02:23:06.653,03:03:42.351,00:03:05.816,03:06:48.167,01:33:54.374,04:40:42.541
80,81.0,1369,Fabio Vaz de Lima,BRA,M,M40-44,AG,11.0,50.0,50.0,False,00:31:29.01,00:31:29.01,00:04:05.529,00:35:34.539,02:22:52.128,02:58:26.667,00:03:43.145,03:02:09.812,01:38:47.405,04:40:57.217
81,82.0,726,Juan Pablo Castro Mena,CHI,M,M30-34,AG,12.0,51.0,51.0,False,00:31:50.284,00:31:50.284,00:04:28.75,00:36:19.034,02:22:49.34,02:59:08.374,00:03:38.188,03:02:46.562,01:38:15.127,04:41:01.689
82,83.0,1321,Jose Nicolas Correa,CHI,M,M30-34,AG,13.0,52.0,52.0,False,00:34:32.317,00:34:32.317,00:03:50.714,00:38:23.031,02:26:37.703,03:05:00.734,00:07:18.933,03:12:19.667,01:28:57.206,04:41:16.873
83,84.0,1702,Team Chilean Vikings,CHI,M,MRelay,RELAY,5.0,5.0,9.0,False,00:31:16.706,00:31:16.706,00:03:15.465,00:34:32.171,02:36:58.504,03:11:30.675,00:01:58.52,03:13:29.195,01:28:01.592,04:41:30.787
84,85.0,1303,Andres Trautmann,CHI,M,M45-49,AG,6.0,53.0,53.0,False,00:31:40.74,00:31:40.74,00:04:09.271,00:35:50.011,02:22:30.543,02:58:20.554,00:02:40.883,03:01:01.437,01:40:37.92,04:41:39.357
85,86.0,75,Felipe Vicuna,CHI,M,M40-44,AG,12.0,54.0,54.0,False,00:35:22.775,00:35:22.775,00:03:54.822,00:39:17.597,02:22:33.922,03:01:51.519,00:03:12.105,03:05:03.624,01:36:54.92,04:41:58.544
86,87.0,25,Florencia Vásquez,CHI,F,FPRO,PRO,5.0,5.0,24.0,False,00:32:17.06,00:32:17.06,00:03:28.94,00:35:46.00,02:37:27.43,03:13:13.43,00:01:41.195,03:14:54.625,01:27:37.487,04:42:32.112
87,88.0,914,Cristian Godoy Vasquez,CHI,M,M35-39,AG,12.0,55.0,55.0,False,00:35:11.459,00:35:11.459,00:04:05.994,00:39:17.453,02:23:44.398,03:03:01.851,00:03:06.492,03:06:08.343,01:36:52.741,04:43:01.084
88,89.0,543,Nicolas Salinas,CHI,M,M30-34,AG,14.0,56.0,56.0,False,00:32:05.706,00:32:05.706,00:03:45.629,00:35:51.335,02:31:48.172,03:07:39.507,00:02:49.86,03:10:29.367,01:32:35.041,04:43:04.408
89,90.0,132,Silvestre Diaz,CHI,M,M40-44,AG,13.0,57.0,57.0,False,00:34:02.14,00:34:02.14,00:06:37.812,00:40:39.952,02:24:34.821,03:05:14.773,00:03:55.136,03:09:09.909,01:34:07.796,04:43:17.705
90,91.0,96,Andres Braemer,CHI,M,M40-44,AG,14.0,58.0,58.0,False,00:31:31.21,00:31:31.21,00:05:07.457,00:36:38.667,02:27:03.594,03:03:42.261,00:03:00.149,03:06:42.41,01:36:42.842,04:43:25.252
91,92.0,1323,Rodolfo Dornelas,BRA,M,M35-39,AG,13.0,59.0,59.0,False,00:30:19.771,00:30:19.771,00:04:23.752,00:34:43.523,02:29:05.762,03:03:49.285,00:02:56.367,03:06:45.652,01:36:49.425,04:43:35.077
92,93.0,99,Felipe Manalich,CHI,M,M45-49,AG,7.0,60.0,60.0,False,00:30:34.638,00:30:34.638,00:03:58.842,00:34:33.48,02:23:03.699,02:57:37.179,00:03:13.988,03:00:51.167,01:43:04.155,04:43:55.322
93,94.0,147,Nicolas Munoz,CHI,M,M45-49,AG,8.0,61.0,61.0,False,00:36:38.082,00:36:38.082,00:03:26.851,00:40:04.933,02:20:43.031,03:00:47.964,00:03:07.00,03:03:54.964,01:40:00.378,04:43:55.342
94,95.0,1312,Carlos Andres Martínez Borgeaud,CHI,M,M45-49,AG,9.0,62.0,62.0,False,00:40:22.506,00:40:22.506,00:05:03.016,00:45:25.522,02:18:00.676,03:03:26.198,00:03:19.68,03:06:45.878,01:37:13.924,04:43:59.802
95,96.0,43,Henrique Souza,BRA,M,M40-44,AG,15.0,63.0,63.0,False,00:32:36.912,00:32:36.912,00:03:55.173,00:36:32.085,02:26:12.898,03:02:44.983,00:02:41.117,03:05:26.10,01:39:00.956,04:44:27.056
