,name,date,desc,earliestStartTime,logoImg,shortName,timeZone,units,url,shorturl,postponed,cancelled,finishers,allowSimulations,loc_desc,loc_coords,loc_country_iso
723,IRM-AUSTRIA-2022,2022-07-03,IRONMAN® Austria Kärnten-Klagenfurt,1656822600,/_imgss/events/IRM-AUSTRIA-2021/1652211294_im21-ironman-austria-logo-2022-pos-large-8810.png,IM Austria,Europe/Vienna,metric,https://track.rtrt.me/e/IRM-AUSTRIA-2022,3279,0,,2169,,"Klagenfurt am Wörthersee, Austria","['46.62054', '14.31047']",
724,IRM-RIODEJANEIRO703-2022,2022-07-03,IRONMAN® 70.3® Rio de Janeiro,1656840600,/_imgss/events/IRM-RIODEJANEIRO703-2022/1652210819_rio-de-janeiro-large-5546.png,IM 70.3 Rio,America/Sao_Paulo,metric,https://track.rtrt.me/e/IRM-RIODEJANEIRO703-2022,3278,0,,1042,,"Rio De Janeiro, Brazil","['-22.97673', '-43.19508']",BR
725,IRM-LESSABLESDOLONNE703-2022,2022-07-03,IRONMAN® 70.3® Les Sables d’Olonne-Vendée,1656822600,/_imgss/events/IRM-LESSABLESDOLONNE703-2022/1652206805_im21-ironman-703-les-sables-2022-pos-large-5652.png,IM 70.3 Les Sables,Europe/Paris,metric,https://track.rtrt.me/e/IRM-LESSABLESDOLONNE703-2022,3276,0,,2334,,Les Sables-d,"['46.49639', '-1.78472']",FR
726,IRM-SANDNES-2022,2022-07-03,IRONMAN® 70.3® Sandnes,1656824400,/_imgss/events/IRM-SANDNES-2022/1652212144_im22-ironman-703-sandnes-mde-title-partner-pos-220225-2776.png,IM 70.3 Sandnes,Europe/Oslo,metric,https://track.rtrt.me/e/IRM-SANDNES-2022,3282,0,,379,,"Sandnes, Rogaland, Norway","['58.851783', '5.736991']",NO
727,IRM-MUSKOKA703-2022,2022-07-10,Subaru IRONMAN® 70.3® Muskoka,1657450800,/_imgss/events/IRM-MUSKOKA703-2022/1652213196_im703-muskoka-large-692.png,IM 70.3 Muskoka,America/Toronto,metric,https://track.rtrt.me/e/IRM-MUSKOKA703-2022,3284,0,,1117,,"Muskoka Lakes ON, Canada","['45.1206', '-79.5803']",CA
728,IRM-JONKOPING703-2022,2022-07-10,IRONMAN® 70.3® Jönköping,1657432800,/_imgss/events/IRM-JONKOPING703-2022/1652212868_im703-jonkoping-logo-pos-5057.png,IM 70.3 Jönköping,Europe/Stockholm,metric,https://track.rtrt.me/e/IRM-JONKOPING703-2022,3283,0,,1551,,"Jonkoping, Sweden","['57.77976', '14.17648']",SE
729,IRM-MUSSELMAN703-2022,2022-07-10,IRONMAN® 70.3® Musselman,1657449000,/_imgss/events/IRM-MUSSELMAN703-2022/1652213406_im21-703musselman-large-8874.png,IM 70.3 Musselman,America/New_York,standard,https://track.rtrt.me/e/IRM-MUSSELMAN703-2022,3285,0,,1756,,"Geneva NY, United States of America","['42.869', '-76.9777']",US
730,IRM-BOHOL5150-2022,2022-07-10,IRONMAN® 5i50™ Triathlon Series Bohol,1657405800,/_imgss/events/IRM-BOHOL5150-2022/1652214216_2020sunlife5150-bohol-logo-final-large-1-1174.png,5i50 Bohol,Asia/Manila,metric,https://track.rtrt.me/e/IRM-BOHOL5150-2022,bohol,0,,459,,"Panglao BOH, Philippines","['9.58333', '123.75']",
731,IRM-VITORIAGASTEIZ-2022,2022-07-10,IRONMAN® Vitoria-Gasteiz,1657434000,/_imgss/events/IRM-VITORIAGASTEIZ-2022/1652213844_im21-ironman-vitoria-rebrand-logo-2022-pos-5745.png,IM Vitoria-Gasteiz,Europe/Madrid,metric,https://track.rtrt.me/e/IRM-VITORIAGASTEIZ-2022,3287,0,,1437,,"Vitoria-Gasteiz VI, Spain","['42.84667', '-2.67306']",ES
732,IRM-OREGON703-2022,2022-07-10,IRONMAN® 70.3® Oregon,1657458000,/_imgss/events/IRM-OREGON703-2022/1652214833_microsoftteams-image-22-large-2685.png,IM 70.3 Oregon,America/Los_Angeles,standard,https://track.rtrt.me/e/IRM-OREGON703-2022,3289,0,,2362,,"Salem OR, United States","['44.9392', '-123.0331']",US
